country_id,id,name
243,1,Đà Nẵng
243,2,Đồng Nai
243,3,Đồng Tháp
243,4,Đăk Nông
243,5,Đắk Lắk
243,6,Điện Biên
243,7,An Giang
243,8,Bà Rịa - Vũng Tàu
243,9,Bình Định
243,10,Bình Dương
243,11,Bình Phước
243,12,Bình Thuận
243,13,Bạc Liêu
243,14,Bắc Giang
243,15,Bắc Kạn
243,16,Bắc Ninh
243,17,Bến Tre
243,18,Cà Mau
243,19,Cao Bằng
243,20,Cần Thơ
243,21,Gia Lai
243,22,Hà Giang
243,23,Hà Nội
243,24,Hà Nam
243,25,Hà Tĩnh
243,26,Hồ Chí Minh city
243,27,Hòa Bình
243,28,Hưng Yên
243,29,Hải Dương
243,30,Hải Phòng
243,31,Hậu Giang
243,32,Khánh Hòa
243,33,Kiên Giang
243,34,Kon Tum
243,35,Lào Cai
243,36,Lâm Đồng
243,37,Lai Châu
243,38,Lạng Sơn
243,39,Long An
243,40,Nam Định
243,41,Nghệ An
243,42,Ninh Bình
243,43,Ninh Thuận
243,44,Phú Thọ
243,45,Phú Yên
243,46,Quảng Bình
243,47,Quảng Nam
243,48,Quảng Ngãi
243,49,Quảng Ninh
243,50,Quảng Trị
243,51,Sóc Trăng
243,52,Sơn La
243,53,Tây Ninh
243,54,Thái Bình
243,55,Thái Nguyên
243,56,Thừa Thiên - Huế
243,57,Thanh Hóa
243,58,Tiền Giang
243,59,Trà Vinh
243,60,Tuyên Quang
243,61,Vĩnh Long
243,62,Vĩnh Phúc
243,63,Yên Bái
